task_id,family,dataset,method,method_name,estimator,seed,train_size
0,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,777,0.8
1,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,777,0.8
2,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,777,0.8
3,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,777,0.8
4,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,777,0.8
5,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,778,0.8
6,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,778,0.8
7,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,778,0.8
8,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,778,0.8
9,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,778,0.8
10,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,779,0.8
11,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,779,0.8
12,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,779,0.8
13,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,779,0.8
14,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,779,0.8
15,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,780,0.8
16,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,780,0.8
17,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,780,0.8
18,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,780,0.8
19,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,780,0.8
20,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,781,0.8
21,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,781,0.8
22,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,781,0.8
23,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,781,0.8
24,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,781,0.8
25,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,782,0.8
26,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,782,0.8
27,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,782,0.8
28,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,782,0.8
29,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,782,0.8
30,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,783,0.8
31,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,783,0.8
32,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,783,0.8
33,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,783,0.8
34,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,783,0.8
35,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,784,0.8
36,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,784,0.8
37,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,784,0.8
38,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,784,0.8
39,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,784,0.8
40,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,785,0.8
41,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,785,0.8
42,classification,data_language,split_conformal_aps,split_conformal_aps_AdaBoost,AdaBoost,785,0.8
43,classification,data_language,split_conformal_aps,split_conformal_aps_MLP,MLP,785,0.8
44,classification,data_language,split_conformal_aps,split_conformal_aps_XGBoost,XGBoost,785,0.8
45,classification,data_language,split_conformal_aps,split_conformal_aps_LogisticRegression,LogisticRegression,786,0.8
46,classification,data_language,split_conformal_aps,split_conformal_aps_RandomForest,RandomForest,786,0.8
