task_id,family,dataset,method,method_name,estimator,seed,train_size
270,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,777,0.8
279,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,778,0.8
288,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,779,0.8
297,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,780,0.8
306,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,781,0.8
315,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,782,0.8
324,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,783,0.8
333,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,784,0.8
342,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,785,0.8
351,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,786,0.8
