task_id,family,dataset,method,method_name,estimator,seed,train_size
0,regression,data_ca_housing,split_conformal,split_conformal,XGBoost,777,0.8
1,regression,data_ca_housing,split_conformal,split_conformal,RandomForest,777,0.8
2,regression,data_ca_housing,split_conformal,split_conformal,ExtraTrees,777,0.8
3,regression,data_ca_housing,split_conformal,split_conformal,AdaBoost,777,0.8
4,regression,data_ca_housing,split_conformal,split_conformal,OLS,777,0.8
5,regression,data_ca_housing,split_conformal,split_conformal,Ridge,777,0.8
6,regression,data_ca_housing,split_conformal,split_conformal,Lasso,777,0.8
7,regression,data_ca_housing,split_conformal,split_conformal,ElasticNet,777,0.8
8,regression,data_ca_housing,split_conformal,split_conformal,MLP,777,0.8
9,regression,data_ca_housing,split_conformal,split_conformal,XGBoost,778,0.8
10,regression,data_ca_housing,split_conformal,split_conformal,RandomForest,778,0.8
11,regression,data_ca_housing,split_conformal,split_conformal,ExtraTrees,778,0.8
12,regression,data_ca_housing,split_conformal,split_conformal,AdaBoost,778,0.8
13,regression,data_ca_housing,split_conformal,split_conformal,OLS,778,0.8
14,regression,data_ca_housing,split_conformal,split_conformal,Ridge,778,0.8
15,regression,data_ca_housing,split_conformal,split_conformal,Lasso,778,0.8
16,regression,data_ca_housing,split_conformal,split_conformal,ElasticNet,778,0.8
17,regression,data_ca_housing,split_conformal,split_conformal,MLP,778,0.8
18,regression,data_ca_housing,split_conformal,split_conformal,XGBoost,779,0.8
19,regression,data_ca_housing,split_conformal,split_conformal,RandomForest,779,0.8
20,regression,data_ca_housing,split_conformal,split_conformal,ExtraTrees,779,0.8
21,regression,data_ca_housing,split_conformal,split_conformal,AdaBoost,779,0.8
22,regression,data_ca_housing,split_conformal,split_conformal,OLS,779,0.8
23,regression,data_ca_housing,split_conformal,split_conformal,Ridge,779,0.8
24,regression,data_ca_housing,split_conformal,split_conformal,Lasso,779,0.8
25,regression,data_ca_housing,split_conformal,split_conformal,ElasticNet,779,0.8
26,regression,data_ca_housing,split_conformal,split_conformal,MLP,779,0.8
27,regression,data_ca_housing,split_conformal,split_conformal,XGBoost,780,0.8
28,regression,data_ca_housing,split_conformal,split_conformal,RandomForest,780,0.8
29,regression,data_ca_housing,split_conformal,split_conformal,ExtraTrees,780,0.8
30,regression,data_ca_housing,split_conformal,split_conformal,AdaBoost,780,0.8
31,regression,data_ca_housing,split_conformal,split_conformal,OLS,780,0.8
32,regression,data_ca_housing,split_conformal,split_conformal,Ridge,780,0.8
33,regression,data_ca_housing,split_conformal,split_conformal,Lasso,780,0.8
34,regression,data_ca_housing,split_conformal,split_conformal,ElasticNet,780,0.8
35,regression,data_ca_housing,split_conformal,split_conformal,MLP,780,0.8
36,regression,data_ca_housing,split_conformal,split_conformal,XGBoost,781,0.8
37,regression,data_ca_housing,split_conformal,split_conformal,RandomForest,781,0.8
38,regression,data_ca_housing,split_conformal,split_conformal,ExtraTrees,781,0.8
39,regression,data_ca_housing,split_conformal,split_conformal,AdaBoost,781,0.8
40,regression,data_ca_housing,split_conformal,split_conformal,OLS,781,0.8
41,regression,data_ca_housing,split_conformal,split_conformal,Ridge,781,0.8
42,regression,data_ca_housing,split_conformal,split_conformal,Lasso,781,0.8
43,regression,data_ca_housing,split_conformal,split_conformal,ElasticNet,781,0.8
44,regression,data_ca_housing,split_conformal,split_conformal,MLP,781,0.8
45,regression,data_ca_housing,split_conformal,split_conformal,XGBoost,782,0.8
46,regression,data_ca_housing,split_conformal,split_conformal,RandomForest,782,0.8
47,regression,data_ca_housing,split_conformal,split_conformal,ExtraTrees,782,0.8
48,regression,data_ca_housing,split_conformal,split_conformal,AdaBoost,782,0.8
49,regression,data_ca_housing,split_conformal,split_conformal,OLS,782,0.8
50,regression,data_ca_housing,split_conformal,split_conformal,Ridge,782,0.8
