task_id,family,dataset,method,method_name,estimator,seed,train_size,metrics_path,metrics_sha256,metrics_task_hash,metrics_output_id,subgroup_metrics_path,subgroup_metrics_sha256,subgroup_metrics_task_hash,subgroup_metrics_output_id
0,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,777,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_777_train_size_0.8_metrics.pkl,4043811f9e7ab16857ea9923524a29fa8693e467bf3cdfffa9d1a2a9f440b593,sha256:d5d0c35639419207a5e37ddfd7e4c62650e099d9c1ef85eb29d41849340366fc,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_777_train_size_0.8_subgroup_metrics.pkl,9af91db866a5ad7b4f634642795eb2124b78586b0fd6ace794ad84b57e2d9b5a,sha256:d5d0c35639419207a5e37ddfd7e4c62650e099d9c1ef85eb29d41849340366fc,regression_subgroup_metrics
1,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,778,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_778_train_size_0.8_metrics.pkl,e822426de0f6fc04feb53fa008d5f26ff72f4a02387ff28d4e6e4b9453116e94,sha256:c0b76b37996ffb712d4a94d8608bcec7395f3d6e22e42a1ea11b614fea376dfb,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_778_train_size_0.8_subgroup_metrics.pkl,17cc6b90d3bc082d32dc1936fcf34bdeae5771be09e26af1e273c7a72253b996,sha256:c0b76b37996ffb712d4a94d8608bcec7395f3d6e22e42a1ea11b614fea376dfb,regression_subgroup_metrics
2,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,779,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_779_train_size_0.8_metrics.pkl,8b3acc3571eb8e35c3a725142c42379600bd06b4d94c46bff0dea3cfe3c1d87e,sha256:ca5bce0c973ecf03d35c8adbc0d905a609e73170d465d677883177f55fc0c3b7,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_779_train_size_0.8_subgroup_metrics.pkl,1322707e635d1d3ad538f11f820532be4f234155175d0a6c20ac441c4b7af78e,sha256:ca5bce0c973ecf03d35c8adbc0d905a609e73170d465d677883177f55fc0c3b7,regression_subgroup_metrics
3,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,780,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_780_train_size_0.8_metrics.pkl,c7b9998e79571b5ac729fe4926319a31e2577e7ba2959612ddb69e40166f77b1,sha256:8eee5f71c49d4442d6a306fc75134be3916762c45dffe3a865d2cc021da99f3b,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_780_train_size_0.8_subgroup_metrics.pkl,7997fd3a2501e8c21ea0cf2975aa3f61db89a560bbf062d32023632cfe1ca129,sha256:8eee5f71c49d4442d6a306fc75134be3916762c45dffe3a865d2cc021da99f3b,regression_subgroup_metrics
4,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,781,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_781_train_size_0.8_metrics.pkl,71b7871b7a019717aa3262eb98ea813e0f51749f2d204aaffbdba0b1d36b3682,sha256:dad65df31575f2c9e3402be71f7b47ce12ddaae607849268e491654bc8a612fc,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_781_train_size_0.8_subgroup_metrics.pkl,e6e5e957045609616e2ee10716907aaa369de1d347081d161e614b500d2d33a9,sha256:dad65df31575f2c9e3402be71f7b47ce12ddaae607849268e491654bc8a612fc,regression_subgroup_metrics
5,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,782,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_782_train_size_0.8_metrics.pkl,248f856d55edd18a4def9fa275063b7e30ee5fe40efc8bed613e5fda9d6ab082,sha256:a9510dbfc8b544aad79aeff681fe61a740f78d1a307bd7e16979b5c91a541fd0,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_782_train_size_0.8_subgroup_metrics.pkl,2a72d999a94464502007cf9d008d9b33c48685b5b3509637ca641e933f928b87,sha256:a9510dbfc8b544aad79aeff681fe61a740f78d1a307bd7e16979b5c91a541fd0,regression_subgroup_metrics
6,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,783,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_783_train_size_0.8_metrics.pkl,5297eb1849fc25a0f004b25be727d2dcdedff119a76aad8a43f0405b9e881a58,sha256:5e724285c2e09d6a30ff130a8700681a9bbdb5bd71e257b07133c6e656861819,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_783_train_size_0.8_subgroup_metrics.pkl,5ebdc25bbca7e9a6a45206c99fce9c2983a43856f77c852e8f0ca31b2e056a49,sha256:5e724285c2e09d6a30ff130a8700681a9bbdb5bd71e257b07133c6e656861819,regression_subgroup_metrics
7,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,784,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_784_train_size_0.8_metrics.pkl,175b206b175ec69d77efb5f6ea480d8878dd48f7770078d0c4b19dbbd327c710,sha256:5e60ad614fcfed37da5e94521169a1f19439fddee48b145b3d45a6289ca8067d,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_784_train_size_0.8_subgroup_metrics.pkl,1157ae959eb3a79120ba72232860dbe010fe6b0ceafd7f53d1c383d8b254abdf,sha256:5e60ad614fcfed37da5e94521169a1f19439fddee48b145b3d45a6289ca8067d,regression_subgroup_metrics
8,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,785,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_785_train_size_0.8_metrics.pkl,67aa5e2f264ce09d49694664f3526887275f6d8ec7469864c4dad9ae6698c7c6,sha256:009e57edb2c882c71f751491eaadbbfe24adff2f2a800e8cf4388faff9bb3283,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_785_train_size_0.8_subgroup_metrics.pkl,61b71ab07923f8c466d416d0dc6a6e53e4fee77a81162aaeef74a984d28e75f4,sha256:009e57edb2c882c71f751491eaadbbfe24adff2f2a800e8cf4388faff9bb3283,regression_subgroup_metrics
9,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,786,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_786_train_size_0.8_metrics.pkl,338d4a9e45460b7232db6adcad61c34a7df6692d52b5765c2ac3c5bd1cc1ed85,sha256:766b2978155728982a6bd71e07a8177f173754d97881e41bf3c4a37c1c827457,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_786_train_size_0.8_subgroup_metrics.pkl,61ad85b115d6750d332f86a836ec8b8c91b453d1fff76f9fb77aa626a2bd1215,sha256:766b2978155728982a6bd71e07a8177f173754d97881e41bf3c4a37c1c827457,regression_subgroup_metrics
