task_id,family,dataset,method,method_name,estimator,seed,train_size,metrics_path,metrics_sha256,metrics_task_hash,metrics_output_id,subgroup_metrics_path,subgroup_metrics_sha256,subgroup_metrics_task_hash,subgroup_metrics_output_id
270,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,777,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_777_train_size_0.8_metrics.pkl,a543ba68ae6d84a27bdf0732403c0300931e6a25b7538b2dabb81219532515b5,sha256:816da3299dfed5716dca0d9ca795d50707f27a486bcc00d8c588ccbc214f6441,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_777_train_size_0.8_subgroup_metrics.pkl,9af91db866a5ad7b4f634642795eb2124b78586b0fd6ace794ad84b57e2d9b5a,sha256:816da3299dfed5716dca0d9ca795d50707f27a486bcc00d8c588ccbc214f6441,regression_subgroup_metrics
279,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,778,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_778_train_size_0.8_metrics.pkl,dd4bc01cd024e483c183bd8ede94a720e6d3164d4a33789cc1b6613549b07c9b,sha256:30aec5c7efd0c1d26d17eb5a734d68e71d3bd5e16085ea91911c58e84e785ac3,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_778_train_size_0.8_subgroup_metrics.pkl,17cc6b90d3bc082d32dc1936fcf34bdeae5771be09e26af1e273c7a72253b996,sha256:30aec5c7efd0c1d26d17eb5a734d68e71d3bd5e16085ea91911c58e84e785ac3,regression_subgroup_metrics
288,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,779,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_779_train_size_0.8_metrics.pkl,dc683fd2ab408845e6f37528fab7cef1047a1a1415ee6afd923e14a389a68808,sha256:ee734869574fa3a02e138759a4f9f8fb3bc6184335d6050d5d4b5a0a86413ef8,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_779_train_size_0.8_subgroup_metrics.pkl,1322707e635d1d3ad538f11f820532be4f234155175d0a6c20ac441c4b7af78e,sha256:ee734869574fa3a02e138759a4f9f8fb3bc6184335d6050d5d4b5a0a86413ef8,regression_subgroup_metrics
297,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,780,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_780_train_size_0.8_metrics.pkl,0f3602d7a79598c11c0fba9387d6a34797f9be18a0f12d076a7069bb60dbd427,sha256:311101a73a45881be21ece2db3ba8f4fd1c8ae17b17a605ed3660e18fd21d436,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_780_train_size_0.8_subgroup_metrics.pkl,7997fd3a2501e8c21ea0cf2975aa3f61db89a560bbf062d32023632cfe1ca129,sha256:311101a73a45881be21ece2db3ba8f4fd1c8ae17b17a605ed3660e18fd21d436,regression_subgroup_metrics
306,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,781,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_781_train_size_0.8_metrics.pkl,71ec17217b2a45d164464dc619448f428cba3c99f2f700af239d3aa3b71f95a9,sha256:e1c728d277a402bb831d21bbb39cff1f3507c0700d8a725ab9cb5041b908bb77,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_781_train_size_0.8_subgroup_metrics.pkl,e6e5e957045609616e2ee10716907aaa369de1d347081d161e614b500d2d33a9,sha256:e1c728d277a402bb831d21bbb39cff1f3507c0700d8a725ab9cb5041b908bb77,regression_subgroup_metrics
315,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,782,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_782_train_size_0.8_metrics.pkl,7c4c699f3247c205a094a0679a525e3d9bf40c138bbb69fbb85ae6173af6b062,sha256:905554e8e38d9ed490723293bdf818b189ed2a2d0c0cde9e6d23ea3829d20eac,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_782_train_size_0.8_subgroup_metrics.pkl,2a72d999a94464502007cf9d008d9b33c48685b5b3509637ca641e933f928b87,sha256:905554e8e38d9ed490723293bdf818b189ed2a2d0c0cde9e6d23ea3829d20eac,regression_subgroup_metrics
324,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,783,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_783_train_size_0.8_metrics.pkl,8dd20937352668531b311789cbd8e1b9297b97750cfeaa03a199015cba5e15a5,sha256:c790cbbfe9f016fb63d5b658707bb232950ee0c07d4e686a82dedebe767711a0,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_783_train_size_0.8_subgroup_metrics.pkl,5ebdc25bbca7e9a6a45206c99fce9c2983a43856f77c852e8f0ca31b2e056a49,sha256:c790cbbfe9f016fb63d5b658707bb232950ee0c07d4e686a82dedebe767711a0,regression_subgroup_metrics
333,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,784,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_784_train_size_0.8_metrics.pkl,7052ac96f5adce8fe51772374cc532f828cf1963fcd10edf64d960443722bf7b,sha256:0da74e1520af6c50883be27d5d82151d437b801034cc6bd906a5f3ef2f816bb9,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_784_train_size_0.8_subgroup_metrics.pkl,1157ae959eb3a79120ba72232860dbe010fe6b0ceafd7f53d1c383d8b254abdf,sha256:0da74e1520af6c50883be27d5d82151d437b801034cc6bd906a5f3ef2f816bb9,regression_subgroup_metrics
342,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,785,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_785_train_size_0.8_metrics.pkl,d0206e0ccc0f38af8c231704f9ec46adb0cc7e1b3313ed26c9496bb881c87c58,sha256:d9f4b206a05fbe4df5eb06386f5adf4f8b3f50690603c84e17f57c529e7919de,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_785_train_size_0.8_subgroup_metrics.pkl,61b71ab07923f8c466d416d0dc6a6e53e4fee77a81162aaeef74a984d28e75f4,sha256:d9f4b206a05fbe4df5eb06386f5adf4f8b3f50690603c84e17f57c529e7919de,regression_subgroup_metrics
351,regression,data_airfoil,split_conformal,split_conformal_XGBoost,XGBoost,786,0.8,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_786_train_size_0.8_metrics.pkl,3cdb6e3dbcd7de111b141750b25c6a6ed25f94553d98531cb21a58651989d34f,sha256:1486970aa33440274a82bc0e715067a889abda317b408230ba8ac405951e1b6f,regression_seed_metrics,experiments/results/reg_max/data_airfoil/split_conformal_XGBoost_seed_786_train_size_0.8_subgroup_metrics.pkl,61ad85b115d6750d332f86a836ec8b8c91b453d1fff76f9fb77aa626a2bd1215,sha256:1486970aa33440274a82bc0e715067a889abda317b408230ba8ac405951e1b6f,regression_subgroup_metrics
